"dataset","metodo","covariable","alternativa","prob_base","prob_perturbada","cambio_abs","elasticidad"
"swissmetro","class_weights","TRAIN_TT","2",0.327524836251926,0.32821656801569,0.000691731763764469,0.211199789206948
"swissmetro","class_weights","TRAIN_TT","3",0.339458785538446,0.340156098802457,0.000697313264010346,0.205419124122616
"swissmetro","class_weights","TRAIN_CO","1",0.333016378209628,0.333439748448538,0.000423370238909426,0.127131957048347
"swissmetro","class_weights","TRAIN_CO","2",0.327524836251926,0.327314010049698,-0.000210826202228009,-0.0643695313737509
"swissmetro","class_weights","TRAIN_CO","3",0.339458785538446,0.339246241501765,-0.000212544036681417,-0.0626126191856492
"swissmetro","class_weights","SM_TT","1",0.333016378209628,0.333379587199168,0.000363208989539954,0.109066404329015
"swissmetro","class_weights","SM_TT","2",0.327524836251926,0.326812602748691,-0.000712233503234183,-0.217459387625294
"swissmetro","class_weights","SM_TT","3",0.339458785538446,0.33980781005214,0.000349024513694229,0.102817935067024
"swissmetro","class_weights","SM_CO","1",0.333016378209628,0.332741497699771,-0.000274880509857633,-0.0825426398952068
"swissmetro","class_weights","SM_CO","2",0.327524836251926,0.328063898677342,0.000539062425416348,0.164586732287292
"swissmetro","class_weights","SM_CO","3",0.339458785538446,0.339194603622888,-0.000264181915558659,-0.0778244449144588
"swissmetro","class_weights","CAR_TT","1",0.333016378209628,0.333534730482065,0.00051835227243674,0.155653687432288
"swissmetro","class_weights","CAR_TT","2",0.327524836251926,0.328018955290725,0.000494119038799146,0.150864601431044
"swissmetro","class_weights","CAR_TT","3",0.339458785538446,0.33844631422721,-0.00101247131123589,-0.298260452923589
"swissmetro","class_weights","CAR_CO","1",0.333016378209628,0.332983633377528,-3.27448321006396e-05,-0.009832799298546
"swissmetro","class_weights","CAR_CO","2",0.327524836251926,0.327493621459906,-3.12147920195627e-05,-0.00953051144968832
"swissmetro","class_weights","CAR_CO","3",0.339458785538446,0.339522745162566,6.39596241202023e-05,0.0188416464221865
