"dataset","metodo","repeticion","fold","n_train","n_sinteticos","accuracy","f1_macro","loglik_holdout","loglik_media","prob_media_observada","l1_market_share","n_valid","precision_1","recall_1","f1_1","precision_2","recall_2","f1_2","precision_3","recall_3","f1_3","beta_asc_train","se_asc_train","beta_asc_sm","se_asc_sm","beta_asc_car","se_asc_car","beta_b_time","se_b_time","beta_b_cost","se_b_cost","loglik_train","loglik_nula","rho2","convergio","vot"
"swissmetro","SMOTE",3,4,14919,6351,0.374416433239963,0.325588066441956,-2341.0714793878,-1.09293719859375,0.342521821768022,0.50747345598522,2142,0.101075268817204,0.166077738515901,0.125668449197861,0.60446247464503,0.239742558326629,0.34331797235023,0.38597972972973,0.741883116883117,0.507777777777778,0.398519364827485,0.0289407955042076,0,NA,0.372873839212425,0.025276119172346,-0.00391380183803838,0.000264083997690548,0.000387978107494698,1.11222631558624e-05,-15943.9168805476,-16390.1967346395,0.0272284623130086,TRUE,NA
"swissmetro","SMOTE",4,0,14916,6348,0.38608776844071,0.34190124922312,-2336.18098791774,-1.09065405598401,0.34265891460714,0.50616689627254,2142,0.117171717171717,0.205673758865248,0.149292149292149,0.621513944223108,0.2508038585209,0.357388316151203,0.399126637554585,0.741883116883117,0.519023282226008,0.384024184435981,0.0296739702501473,0,NA,0.354875484990137,0.0251687573487239,-0.00377981203109683,0.000277921698686882,0.000367685251451069,1.10778511745288e-05,-15974.9374046707,-16386.9008977735,0.0251398049986875,TRUE,NA
"swissmetro","SMOTE",4,1,14919,6351,0.391690009337068,0.336909458947485,-2327.04360284196,-1.0863882366209,0.343385381059301,0.512840719629808,2142,0.132992327365729,0.183745583038869,0.154302670623145,0.625581395348837,0.216411906677393,0.321578003586372,0.392127176381529,0.840909090909091,0.534847702632938,0.35174868278579,0.0302430657743587,0,NA,0.355915461359953,0.0254546124703069,-0.00328018275399384,0.000286393734626702,0.000370955308779234,1.08345743612126e-05,-15983.7186991687,-16390.1967346395,0.0248000705575313,TRUE,NA
"swissmetro","SMOTE",4,2,14919,6351,0.406162464985994,0.35730761906909,-2314.22627169751,-1.08040442189426,0.346864100699732,0.498840941623941,2142,0.123076923076923,0.197879858657244,0.151761517615176,0.645796064400716,0.290426387771521,0.400665926748058,0.401595744680851,0.73538961038961,0.519495412844037,0.394628645828017,0.02963139371745,0,NA,0.365071720005315,0.0253804225719629,-0.00390348263743612,0.000273957028847621,0.000379281819469035,1.08800992751164e-05,-15960.9963068713,-16390.1967346395,0.0261864109819473,TRUE,NA
"swissmetro","SMOTE",4,3,14919,6351,0.396358543417367,0.344873822041572,-2318.3952903327,-1.08235074245224,0.34403465025746,0.507014293099789,2142,0.124705882352941,0.187279151943463,0.149717514124294,0.621181262729124,0.245374094931617,0.351787773933103,0.400489396411093,0.797077922077922,0.533116178067318,0.353589992500286,0.029242264311918,0,NA,0.345668767551948,0.0251171608164769,-0.00342132697021371,0.000270779770216038,0.000362812192250143,1.11842002838582e-05,-15993.5300377097,-16390.1967346395,0.0242014603821978,TRUE,NA
"swissmetro","SMOTE",4,4,14919,6351,0.38562091503268,0.333756170686288,-2332.31437656536,-1.08884891529662,0.342591417345027,0.505964301718574,2142,0.114285714285714,0.169611307420495,0.136557610241821,0.595238095238095,0.241351568785197,0.343445907269605,0.392446633825944,0.775974025974026,0.521264994547437,0.373432894648876,0.0294876577106504,0,NA,0.360022962201825,0.0251398091843903,-0.00360956028614027,0.000276757327322463,0.000385137510493736,1.1165496956267e-05,-15953.9682565803,-16390.1967346395,0.0266152069509508,TRUE,NA
"swissmetro","SMOTE",5,0,14916,6348,0.373482726423903,0.325406670921617,-2345.71925184501,-1.09510702700514,0.34180419064959,0.510843936954994,2142,0.1,0.170212765957447,0.125984251968504,0.6,0.231511254019293,0.334106728538283,0.392554991539763,0.753246753246753,0.516129032258065,0.415406578688714,0.0298842631126712,0,NA,0.390583986336649,0.0254621131243081,-0.00406882163536042,0.000279723116905107,0.000410986090524599,1.136360419088e-05,-15890.9318534725,-16386.9008977735,0.0302661892810046,TRUE,NA
"swissmetro","SMOTE",5,1,14919,6351,0.408963585434174,0.3545759806095,-2312.47536778379,-1.07958700643501,0.345090936134615,0.499456537257112,2142,0.117782909930716,0.180212014134276,0.142458100558659,0.631163708086785,0.257441673370877,0.365714285714286,0.420133111480865,0.819805194805195,0.555555555555556,0.341221342712808,0.0300387603968656,0,NA,0.336745782854624,0.025071940938637,-0.00323056878397329,0.000285021755078999,0.000369869213748081,1.1244734303234e-05,-15997.6755270364,-16390.1967346395,0.0239485354543407,TRUE,NA
"swissmetro","SMOTE",5,2,14919,6351,0.395891690009337,0.347365366087323,-2323.30182670849,-1.0846413756809,0.344949751552694,0.506207946266158,2142,0.119733924611973,0.190812720848057,0.147138964577657,0.628731343283582,0.271118262268705,0.378864530635188,0.395670995670996,0.741883116883117,0.516092603049125,0.390917365512527,0.0294702644875025,0,NA,0.362331202285311,0.0253330984504046,-0.00388389503907446,0.000273202223504102,0.000365026612085773,1.09087368169813e-05,-15971.7244668382,-16390.1967346395,0.0255318636241235,TRUE,NA
"swissmetro","SMOTE",5,3,14919,6351,0.380952380952381,0.32838782748568,-2326.44871112711,-1.08611050939641,0.343492391421389,0.506213481741933,2142,0.113744075829384,0.169611307420495,0.136170212765957,0.58458244111349,0.219629927594529,0.319298245614035,0.395051875498803,0.803571428571429,0.529695024077047,0.354595758666648,0.0294482187752177,0,NA,0.352372194606718,0.0250689854299567,-0.00334517593005258,0.000276550996170989,0.000387507448455936,1.10111561761515e-05,-15967.7306512466,-16390.1967346395,0.0257755346218659,TRUE,NA
"swissmetro","SMOTE",5,4,14919,6351,0.402427637721755,0.347478056120335,-2322.46308053732,-1.08424980417242,0.344859047523911,0.506815518496938,2142,0.126943005181347,0.173144876325088,0.146487294469357,0.63776493256262,0.266291230893001,0.375709421112372,0.38965238480194,0.782467532467532,0.520237452779277,0.375900751278402,0.0287370987308665,0,NA,0.358534022513282,0.0251928543931468,-0.00366719597980314,0.000261778228115306,0.000373483101075866,1.09781948332178e-05,-15975.8481574264,-16390.1967346395,0.0252802686826499,TRUE,NA
"swissmetro","SMOTE",6,0,14916,6348,0.395424836601307,0.343341087379196,-2323.13498031817,-1.08456348287496,0.344053566042963,0.503674629087965,2142,0.123222748815166,0.184397163120567,0.147727272727273,0.615541922290389,0.241961414790997,0.347374495095211,0.401299756295695,0.801948051948052,0.534921494315106,0.354336176201826,0.0298976507968788,0,NA,0.349274419888151,0.025154572088128,-0.00336862620066711,0.000282534985796256,0.000383154434856709,1.12066852556631e-05,-15970.771387143,-16386.9008977735,0.0253940335165521,TRUE,NA
"swissmetro","SMOTE",6,1,14919,6351,0.404761904761905,0.344770417375219,-2322.54569179912,-1.08428837152153,0.34500378361987,0.507029427943785,2142,0.0805369127516778,0.127208480565371,0.0986301369863014,0.656771799628942,0.284794851166533,0.397306397306397,0.412629757785467,0.774350649350649,0.538374717832957,0.389087755607981,0.0287940243749083,0,NA,0.364107802095402,0.0253153772284406,-0.00384682819353713,0.000257467471239616,0.000366612759745384,1.1065106065274e-05,-15967.9617851813,-16390.1967346395,0.0257614326596729,TRUE,NA
"swissmetro","SMOTE",6,2,14919,6351,0.391690009337068,0.351297613960377,-2334.4471592269,-1.08984461215075,0.34294651190161,0.507765648681646,2142,0.144654088050314,0.243816254416961,0.181578947368421,0.605577689243028,0.244569589702333,0.348424068767908,0.400687876182287,0.756493506493506,0.5238898257448,0.391547435001139,0.0289150393006444,0,NA,0.36326048213738,0.0251696876115772,-0.00386303957697545,0.000266225227432421,0.000371861155791727,1.11819402996949e-05,-15962.4975544351,-16390.1967346395,0.0260948167449676,TRUE,NA
"swissmetro","SMOTE",6,3,14919,6351,0.390756302521008,0.339487493095557,-2322.473720064,-1.08425477127171,0.344265683645372,0.505936242758373,2142,0.123486682808717,0.180212014134276,0.146551724137931,0.607920792079208,0.246983105390185,0.351258581235698,0.391339869281046,0.777597402597403,0.520652173913044,0.37810398142521,0.0316171047063568,0,NA,0.359337616743344,0.0256635675101442,-0.00370577811245896,0.000313121644939206,0.000381362236817286,1.16289193195014e-05,-15971.9397313569,-16390.1967346395,0.0255187298880103,TRUE,NA
"swissmetro","SMOTE",6,4,14919,6351,0.391690009337068,0.341165106733524,-2323.91704125787,-1.08492859068995,0.343841079306105,0.504129430674628,2142,0.125592417061611,0.187279151943463,0.150354609929078,0.615853658536585,0.243765084473049,0.349279538904899,0.393322475570033,0.784090909090909,0.523861171366594,0.34899409450013,0.0299446113813068,0,NA,0.345327125138319,0.0250860326974868,-0.0033046098056063,0.000285404728550714,0.000371439196834266,1.08020605403304e-05,-15983.7033299191,-16390.1967346395,0.0248010082674222,TRUE,NA
"swissmetro","SMOTE",7,0,14916,6348,0.394024276377218,0.347585398814052,-2326.46706389316,-1.08611907744779,0.344387490151833,0.504629723954346,2142,0.121593291404612,0.205673758865248,0.152832674571805,0.6285140562249,0.251607717041801,0.359357060849598,0.405312767780634,0.767857142857143,0.530566461020752,0.375971162336955,0.0293524233455666,0,NA,0.354103110719572,0.0250648984940888,-0.00364372848741129,0.000272003703398388,0.000375840114279307,1.09096767381504e-05,-15963.400512296,-16386.9008977735,0.0258438363739077,TRUE,NA
"swissmetro","SMOTE",7,1,14919,6351,0.397759103641457,0.35077486581833,-2325.693807784,-1.08575808019795,0.34400294261626,0.508598441914008,2142,0.13953488372093,0.212014134275618,0.168302945301543,0.627218934911243,0.255832662912309,0.363428571428571,0.393360995850622,0.769480519480519,0.520593080724876,0.378108224186974,0.0298487134048853,0,NA,0.359424999710173,0.0254416194214008,-0.0037021157754204,0.000280288326217422,0.000364044351290412,1.11115223352558e-05,-15983.5854115074,-16390.1967346395,0.0248082027150293,TRUE,NA
