"dataset","metodo","repeticion","fold","n_train","n_sinteticos","accuracy","f1_macro","loglik_holdout","loglik_media","prob_media_observada","l1_market_share","n_valid","precision_1","recall_1","f1_1","precision_4","recall_4","f1_4","precision_5","recall_5","f1_5","beta_asc_car_driver","se_asc_car_driver","beta_asc_metro","se_asc_metro","beta_asc_bus","se_asc_bus","beta_b_tcw","se_b_tcw","beta_b_ivt","se_b_ivt","beta_b_wkt","se_b_wkt","beta_b_autlic","se_b_autlic","beta_b_mi_cd","se_b_mi_cd","beta_b_wt","se_b_wt","beta_b_mi_bus","se_b_mi_bus","loglik_train","loglik_nula","rho2","convergio","vot"
"sm_centro","ROS",5,2,798,342,0.736842105263158,0.664059504639215,-65.052410126851,-0.570635176551324,0.707010079461332,0.235066550433497,114,0.352941176470588,0.545454545454545,0.428571428571429,0.672727272727273,1,0.804347826086956,0.976190476190476,0.621212121212121,0.759259259259259,-3.75537071095327,0.73841956749903,0,NA,-1.4574076927975,0.508295695857784,0.00701953299864024,0.00825215103346218,-0.00177179558241749,0.000941942125751887,-0.000594049450552755,0.000309275332490433,1.14061128528767,0.474705088715602,2.21881438257503e-05,4.82219078297642e-06,-0.000906385246090427,0.00227501171894395,-1.19763299136106e-05,5.20341873608858e-06,-321.891337728275,-508.581381956945,0.367079981399073,TRUE,-0.252409324489351
"sm_centro","ROS",5,3,798,342,0.815789473684211,0.778476611883692,-47.7955428438507,-0.419259147753076,0.744176360620664,0.215612684391725,114,0.458333333333333,1,0.628571428571429,0.813953488372093,0.945945945945946,0.875,1,0.712121212121212,0.831858407079646,-3.04355000720802,0.677851730580085,0,NA,-1.61118865450359,0.506598366376193,0.00429755424750237,0.00841578535086044,-0.00196214620253609,0.000913146737563321,-0.000699600110686955,0.000260829471098617,1.50483869902902,0.497272739379862,1.14106845916398e-05,3.67418186251178e-06,-0.00239647088610879,0.00194882089933443,-4.05041621365773e-06,4.22763919292154e-06,-368.557704852431,-519.7509549138,0.290895569564552,TRUE,-0.456572759651943
"sm_centro","ROS",5,4,798,342,0.798245614035088,0.735043432160189,-56.1417212695714,-0.492471239206767,0.740488504555418,0.187681057607883,114,0.4,0.727272727272727,0.516129032258065,0.765957446808511,0.972972972972973,0.857142857142857,1,0.712121212121212,0.831858407079646,-5.02732660053323,NA,0,NA,-2.4656529560654,NA,0.0136176077490054,NA,-0.00240753409797851,NA,-0.00121040753745844,NA,1.70882974839383,NA,2.30952590947812e-05,NA,-0.00442405354069022,NA,-3.31255441546985e-07,NA,-336.4401832227,-515.120939687815,0.346871467840937,FALSE,-0.176795670895598
"sm_centro","ROS",6,0,795,339,0.824561403508772,0.803032579570781,-50.0241318357694,-0.438808173997977,0.742320764111404,0.154686037656763,114,0.588235294117647,1,0.740740740740741,0.729166666666667,0.945945945945946,0.823529411764706,1,0.73134328358209,0.844827586206896,-3.39137952733551,0.719653062144133,0,NA,-1.57946650824055,0.522436529081241,0.00917947979192365,0.00804561932295867,-0.00242477769511476,0.000980470708866333,-0.000766758688624507,0.000274493233350689,1.23309171316621,0.517723950746108,1.5277437410544e-05,4.79139928790088e-06,-0.00260503838445925,0.00220305242487552,-5.74532078124603e-06,4.61323386620391e-06,-353.997265309023,-510.321025425034,0.306324357272587,TRUE,-0.264151972669317
"sm_centro","ROS",6,1,795,339,0.789473684210526,0.733816773373736,-52.31547519225,-0.458907677125,0.745365305053309,0.248206908087348,114,0.333333333333333,0.9,0.486486486486486,0.857142857142857,0.972972972972973,0.911392405063291,1,0.671641791044776,0.803571428571429,-4.53056488500731,0.71738058336222,0,NA,-2.38049778911302,0.559893886566392,0.0150071546386886,0.010046207073746,-0.00118360588800254,0.0010046065109888,-0.000977147399530946,0.000281269255909295,1.61908838196875,0.475926541552103,1.45455130320163e-05,4.13241973690467e-06,-0.00555406759279061,0.00239372926344963,-8.47650342402756e-06,5.01334155783811e-06,-349.363419157465,-515.64418783158,0.322471914932987,TRUE,-0.0788694403768714
"sm_centro","ROS",6,2,798,342,0.736842105263158,0.684110334110334,-64.0909039683436,-0.562200912003014,0.706141348391878,0.279163237028451,114,0.310344827586207,0.818181818181818,0.45,0.780487804878049,0.864864864864865,0.820512820512821,0.977272727272727,0.651515151515151,0.781818181818182,-2.56793274750402,NA,0,NA,-1.18594026727387,NA,-0.0158433386024747,NA,-0.00251389476763557,NA,-0.000873802317668978,NA,1.17862354721313,NA,1.90013117982171e-05,NA,-0.00105948467251382,NA,-6.54031869291911e-06,NA,-348.929230223569,-523.348024885635,0.333274964972268,FALSE,0.158672034393238
"sm_centro","ROS",6,3,798,342,0.789473684210526,0.733592114875012,-48.8834936461655,-0.428802575843557,0.761224683209658,0.156522231210574,114,0.391304347826087,0.818181818181818,0.529411764705882,0.772727272727273,0.918918918918919,0.839506172839506,1,0.712121212121212,0.831858407079646,-4.04432106243198,0.707844278152796,0,NA,-1.77679015015912,0.524975031753424,0.0153767915653182,0.00967538007852821,-0.00170739443247332,0.000870457813371806,-0.000794609668384102,0.000296402310034906,1.65459293787078,0.505536787257661,2.25406072508968e-05,4.4487895864639e-06,7.72396881914262e-05,0.00187331600131493,-2.36005505762513e-06,4.8614451288275e-06,-350.107814704019,-519.920853950596,0.326613248836357,TRUE,-0.111037105837104
"sm_centro","ROS",6,4,798,342,0.675438596491228,0.614796569968984,-74.1588202293468,-0.650515966924095,0.675158860100278,0.316054184938743,114,0.28,0.636363636363636,0.388888888888889,0.62,0.837837837837838,0.71264367816092,1,0.590909090909091,0.742857142857143,-5.55592181538652,0.888047572824966,0,NA,-2.80150239201589,0.656882140364713,0.0328837381438992,0.009885789555544,-0.00157356671973494,0.00109531604484617,-0.000466377548088354,0.00031983164641782,1.74097049220225,0.615168168758857,3.06118678588882e-05,4.67430962987283e-06,-0.00380555207089877,0.0031157458094884,5.6073306269353e-06,4.3555711253344e-06,-317.380220644856,-501.636359117968,0.367310174240742,TRUE,-0.0478524282382075
"sm_centro","ROS",7,0,795,339,0.815789473684211,0.768971768971769,-54.2215202985411,-0.475627371039834,0.749196388204078,0.256060540624844,114,0.434782608695652,1,0.606060606060606,0.804878048780488,0.891891891891892,0.846153846153846,1,0.746268656716418,0.854700854700855,-3.81443567853818,0.840216584265202,0,NA,-1.89187919402491,0.54730773858356,0.0199055378601812,0.0124924097958389,-0.00106866722168776,0.000904901644770594,-0.000270579903560032,0.000290309938401517,1.04988422133942,0.5133330319803,2.53048375218628e-05,5.64191506270013e-06,-0.00260736238810541,0.00215993412170326,-3.80946161403133e-06,4.80146770370406e-06,-363.033238598268,-516.97836619156,0.297778664757995,TRUE,-0.0536869301997367
"sm_centro","ROS",7,1,795,339,0.736842105263158,0.675308641975309,-67.8888415224825,-0.595516153705987,0.698257747099727,0.287552959095521,114,0.35,0.7,0.466666666666667,0.679245283018868,0.972972972972973,0.8,1,0.611940298507463,0.759259259259259,-3.0373504369796,0.649443219305442,0,NA,-1.64946569246834,0.55490750236398,-0.0138625719199227,0.00713296174998681,-0.00273383280634068,0.0010647258234383,-0.00084529025585975,0.000305085090937076,1.5652111492645,0.50614718788381,1.3819919502535e-05,3.59619634016166e-06,-0.00145536455010017,0.0021474539297892,-3.361248478785e-06,4.71649587568913e-06,-328.623239312317,-507.836118775246,0.3528951030406,TRUE,0.197209639173214
"sm_centro","ROS",7,2,798,342,0.736842105263158,0.66539039039039,-55.2113397016867,-0.484309997383217,0.723831554214523,0.209741698926368,114,0.269230769230769,0.636363636363636,0.378378378378378,0.767441860465116,0.891891891891892,0.825,0.977777777777778,0.666666666666667,0.792792792792793,-4.43098134358356,NA,0,NA,-1.62375452575653,NA,0.0317072099066579,NA,-0.00229055717593352,NA,-9.41813753411455e-05,NA,1.49558848666307,NA,2.58606016123769e-05,NA,-0.00185198219954106,NA,-1.85517515126223e-06,NA,-349.217039901139,-520.391986093221,0.328934631521051,FALSE,-0.0722408935594345
"sm_centro","ROS",7,3,798,342,0.754385964912281,0.698993833171048,-62.3750027278381,-0.547149146735422,0.708514041480116,0.252730924381059,114,0.321428571428571,0.818181818181818,0.461538461538462,0.785714285714286,0.891891891891892,0.835443037974683,1,0.666666666666667,0.8,-5.42785913283957,0.864312493703123,0,NA,-2.85672154605768,0.636458927312092,0.0194568048394097,0.00967604363745626,-0.00226972421802362,0.000956347323511875,-0.00125561622495065,0.000298466209335753,1.43900154814442,0.554964834188378,2.27567971275262e-05,6.22285512997301e-06,-0.00785731317247649,0.00307199496340383,-1.55570117549209e-06,4.82858408784913e-06,-340.123851595233,-516.572901083452,0.34157627920113,TRUE,-0.116654519421725
"sm_centro","ROS",7,4,798,342,0.798245614035088,0.76835456145801,-52.1262565741649,-0.457247864685657,0.746030993409184,0.194305948309988,114,0.526315789473684,0.909090909090909,0.666666666666667,0.72,0.972972972972973,0.827586206896552,1,0.681818181818182,0.810810810810811,-3.149390210196,0.698404795085799,0,NA,-1.92246609562646,0.558017232247177,0.0106101765627088,0.00859145625813635,-0.00054721088845708,0.000949172072428807,-3.35416809058356e-06,0.000296291530613782,1.47754159578695,0.505753966985263,1.26947497232217e-05,3.55147160870844e-06,-0.00347895164055399,0.00237397626655782,-3.94140845724973e-06,4.4342468397875e-06,-377.456454346957,-523.687822959226,0.27923385307291,TRUE,-0.0515741547959101
"sm_centro","ROS",8,0,795,339,0.780701754385965,0.731568706387547,-49.3961453831378,-0.433299520904717,0.752813969571055,0.182912675313901,114,0.409090909090909,0.9,0.5625,0.75,0.891891891891892,0.814814814814815,0.979166666666667,0.701492537313433,0.817391304347826,-4.45295501554996,0.69499171212492,0,NA,-1.85331915602819,0.518515225468896,0.0214973529154061,0.00828249964411607,-0.00104957287463478,0.000922096788090866,-9.91080772223344e-05,0.000284800418370128,2.00967872839115,0.48894045170246,2.03858780119223e-05,4.4003781215945e-06,-0.00291587081797948,0.00203198235226117,-3.8410870029163e-06,4.43550157641305e-06,-364.875709208047,-524.276738137507,0.304039865464435,TRUE,-0.0488233541480637
"sm_centro","ROS",8,1,795,339,0.728070175438597,0.589578535010532,-65.0320281784614,-0.570456387530364,0.716450906040287,0.180960194545402,114,0.111111111111111,0.2,0.142857142857143,0.755555555555556,0.918918918918919,0.829268292682927,0.92156862745098,0.701492537313433,0.796610169491525,-3.84695575061264,NA,0,NA,-1.6723603292101,NA,-0.0207528423423925,NA,-0.00309025811453836,NA,-0.000750310198347366,NA,1.4875420537481,NA,2.72646177591512e-05,NA,-0.0032297593757388,NA,-1.83368443466581e-06,NA,-325.536287426288,-517.907079443433,0.371438815286858,FALSE,0.148907704475053
"sm_centro","ROS",8,2,798,342,0.763157894736842,0.708541875208542,-56.0787673472022,-0.491919011817564,0.720878212036923,0.221209334420222,114,0.36,0.818181818181818,0.5,0.75,0.891891891891892,0.814814814814815,1,0.681818181818182,0.810810810810811,-2.77110053420706,0.744761939755257,0,NA,-1.73007691187773,0.522390570418908,0.0211161514390083,0.0109321245584186,-0.00166270555364388,0.00100215977295568,-0.000406453362394109,0.00026300813144608,-0.112918304544261,0.551130081530519,2.04078112888209e-05,4.5483350542721e-06,-0.00233241581763953,0.00216881836939254,-4.45304351252303e-06,4.34653513715556e-06,-358.347545087108,-514.022327399147,0.30285607066861,TRUE,-0.0787409371658667
"sm_centro","ROS",8,3,798,342,0.719298245614035,0.655966694669047,-71.0522052948451,-0.623264958726712,0.694253859357251,0.285371371302607,114,0.333333333333333,0.636363636363636,0.4375,0.653846153846154,0.918918918918919,0.764044943820225,1,0.621212121212121,0.766355140186916,-3.7494277863354,NA,0,NA,-2.00206145547202,NA,0.0334390360411032,NA,-0.00180113601786334,NA,-0.000139515610558718,NA,-0.148781717799374,NA,2.82800761738973e-05,NA,-0.00227835410772276,NA,-4.21201954215253e-06,NA,-318.560038735118,-497.869390109338,0.360153395521748,FALSE,-0.0538632757131334
"sm_centro","ROS",8,4,798,342,0.771929824561403,0.725438596491228,-54.9197427356226,-0.481752129259848,0.73089587781043,0.264044365025914,114,0.37037037037037,0.909090909090909,0.526315789473684,0.790697674418605,0.918918918918919,0.85,1,0.666666666666667,0.8,-3.46384015908159,0.731630775500409,0,NA,-1.7571093651383,0.506778230637297,0.0106044178720957,0.0100949228453624,-0.00148815264734233,0.000988484926431298,-0.000573466522287657,0.000257319082123771,1.97516679309729,0.52918717753317,8.57150704389265e-06,3.95739799887484e-06,-0.00301172843646399,0.00212970494324595,-7.03354290572147e-06,4.3502939614447e-06,-361.956170599722,-516.219551976483,0.298832891520909,TRUE,-0.140333271028317
"sm_centro","ROS",9,0,795,339,0.763157894736842,0.70952380952381,-58.474266985878,-0.51293216654279,0.722767210419843,0.248291308854656,114,0.346153846153846,0.9,0.5,0.767441860465116,0.891891891891892,0.825,1,0.671641791044776,0.803571428571429,-3.52138846984673,NA,0,NA,-1.77226593424404,NA,0.0180152477252386,NA,-0.00248555724976093,NA,-0.00094207662290156,NA,0.620101312994596,NA,2.51498815601152e-05,NA,-0.00135735272690916,NA,-1.11358885519021e-06,NA,-350.289801480193,-513.329180218587,0.31761174899305,FALSE,-0.137969640366298
