"ID","ICH","SEXO","AUTLIC","ILM","HTS","JEFH","TVIA1","TVIA2","TVIA3","TVIA4","TVIA5","TCAM1","TCAM2","TCAM3","TCAM4","TCAM5","TESP3","TESP4","TESP5","CTOT1_w","CTOT2_w","CTOT3_w","CTOT4_w","CTOT5_w","DISP1","DISP2","DISP3","DISP4","DISP5"
"209",108,5,1,0.5,30000,50,1,705,793,617,0,1114,418,0,598,0,122,36,0,48,45.58,18.49,34.4,0,17.2,1,1,1,0,1
"211",109,5,0,1,8900,44,0,0,0,1203,0,1631,0,0,720,0,720,138,0,18,0,0,102.040449438202,0,51.0202247191011,0,0,1,0,1
"213",110,5,1,0,13000,44,1,0,0,1203,0,1385,0,0,828,0,58,138,0,78,0,0,69.8584615384615,0,34.9292307692308,0,0,1,0,1
"215",111,5,1,0.5,31021,44,1,661,745,0,684,843,346,0,0,576,346,0,192,12,31.4713258760195,14.2718803391251,0,9.14864124302892,14.6378259888463,1,1,0,1,1
"217",112,5,1,0,24000,44,1,0,0,623,0,1271,0,0,828,0,317,36,0,48,0,0,37.84,0,18.92,0,0,1,0,1
"219",113,5,0,0.5,49000,45,0,375,375,0,0,658,324,0,0,0,180,0,0,30,20.3767346938776,6.63428571428571,0,0,9.47755102040816,1,1,0,0,1
"221",114,5,0,0,27000,44,1,0,0,0,0,673,0,0,0,0,677,0,0,12,0,0,0,0,16.8177777777778,0,0,0,0,1
"225",116,4,1,1,70000,53,1,598,598,0,486,612,324,0,0,490,346,0,192,12,21.2923714285714,7.61837142857143,0,4.88357142857143,7.81371428571428,1,1,0,1,1
"229",118,5,0,1,30000,44,1,0,0,0,762,893,0,0,0,490,223,0,192,18,0,0,0,9.46,15.136,0,0,0,1,1
"231",119,5,1,0,11000,44,1,0,0,0,0,224,0,0,0,0,144,0,0,6,0,0,0,0,41.28,0,0,0,0,1
"233",120,1,1,0.5,110000,44,1,606,677,0,522,734,533,0,0,893,734,0,120,12,12.0744,4.9536,0,1.1352,4.128,1,1,0,1,1
"235",121,5,1,0,10600,44,1,0,0,374,0,535,0,0,425,0,425,138,0,12,0,0,85.6754716981132,0,42.8377358490566,0,0,1,0,1
"237",122,5,1,0,12000,44,1,0,0,943,0,1304,0,0,533,0,533,138,0,18,0,0,85.14,0,37.84,0,0,1,0,1
"239",124,5,0,0,34000,48,0,0,0,395,0,689,0,0,547,0,187,30,0,42,0,0,29.1388235294118,0,14.5694117647059,0,0,1,0,1
"241",125,2,0,1,23000,40,0,0,832,1141,0,1211,0,22,497,0,223,78,0,30,0,25.1269565217391,44.8695652173913,0,17.9478260869565,0,1,1,0,1
"243",126,1,1,0.66,30000,45,0,938,1012,1198,0,1204,245,22,238,0,216,78,0,30,50.31,24.381,30.96,0,15.48,1,1,1,0,1
"245",127,2,1,0.66,180000,45,1,938,969,883,0,1308,677,0,173,0,281,78,0,78,18.06,3.9345,5.16,0,2.58,1,1,1,0,1
"247",128,5,1,0.5,1e+05,42,1,646,598,0,486,655,324,0,0,720,230,0,192,12,9.42732,2.92572,0,2.709,4.3344,1,1,0,1,1
"249",129,2,0,0,56000,42,1,0,848,1015,0,1242,0,295,446,0,418,36,0,30,0,10.6425,17.415,0,7.74,0,1,1,0,1
"250",130,1,1,1,60000,42,1,928,0,1190,0,1193,382,0,202,0,166,78,0,30,34.8558,0,14.448,0,7.224,1,0,1,0,1
"252",131,1,1,1,80000,48,1,444,0,578,0,667,374,0,144,0,216,30,0,36,18.1116,0,10.836,0,6.192,1,0,1,0,1
"254",132,1,1,0.66,50000,45,1,333,409,395,0,638,252,0,338,0,245,30,0,42,45.9756,13.4676,18.576,0,9.288,1,1,1,0,1
"256",133,5,0,1,30000,50,1,0,804,0,684,887,0,0,0,706,216,0,192,18,0,19.35,0,10.75,17.2,0,1,0,1,1
"259",135,5,0,0,35000,44,1,0,0,0,0,1048,0,0,0,0,209,0,0,66,0,0,0,0,12.9737142857143,0,0,0,0,1
"261",136,3,0,0,20000,44,1,0,872,875,0,1297,0,0,86,0,122,78,0,78,0,30.0828,51.084,0,22.704,0,1,1,0,1
"263",137,5,0,0,30000,42,1,0,0,725,0,1086,0,0,346,0,252,36,0,78,0,0,28.896,0,14.448,0,0,1,0,1
"265",138,4,0,0,22000,41,0,0,0,436,522,792,0,0,382,828,734,30,120,78,0,0,38.4654545454545,5.289,19.2327272727273,0,0,1,1,1
"269",140,4,1,0,20000,48,1,0,0,0,666,809,0,0,0,720,144,0,120,36,0,0,0,6.8112,24.768,0,0,0,1,1
"271",141,5,0,1,25000,41,0,0,0,142,0,211,0,0,288,0,216,24,0,36,0,0,33.8496,0,16.9248,0,0,1,0,1
"273",142,5,1,0.5,24000,48,0,827,827,989,0,1306,108,0,216,0,252,78,0,78,53.148,23.736,41.28,0,20.64,1,1,1,0,1
"275",143,1,1,1,120000,48,1,608,646,793,0,791,576,58,634,0,187,138,0,12,18.8856,4.7472,8.256,0,4.128,1,1,1,0,1
"277",144,5,0,1,30000,44,0,485,485,0,0,770,58,0,0,0,734,0,0,12,52.2192,10.9736,0,0,15.136,1,1,0,0,1
"278",145,5,0,1,24000,47,1,0,0,0,0,1028,0,0,0,0,418,0,0,60,0,0,0,0,25.2625,0,0,0,0,1
"279",146,5,0,0,38000,41,1,0,0,0,0,270,0,0,0,0,317,0,0,36,0,0,0,0,11.1347368421053,0,0,0,0,1
"280",147,5,1,0,25000,40,1,0,0,843,0,1032,0,0,166,0,439,36,0,300,0,0,41.28,0,16.512,0,0,1,0,1
"282",148,4,1,0,23000,48,0,0,0,0,198,482,0,0,0,1094,72,0,120,54,0,0,0,6.99965217391304,21.5373913043478,0,0,0,1,1
"284",149,1,1,1,3e+05,50,1,662,662,746,0,929,0,0,324,0,216,36,0,300,3.784,1.892,3.44,0,1.72,1,1,1,0,1
"286",150,4,1,0,44000,55,1,0,0,0,684,878,0,0,0,576,389,0,192,12,0,0,0,7.095,12.9,0,0,0,1,1
"294",154,5,0,1,45000,40,1,0,797,871,0,1240,0,0,778,0,590,78,0,78,0,12.8426666666667,20.64,0,9.17333333333333,0,1,1,0,1
"296",156,4,0,0,45000,40,1,0,0,0,588,950,0,0,0,641,194,0,120,78,0,0,0,2.98133333333333,9.17333333333333,0,0,0,1,1
"297",157,4,1,0,80000,60,1,0,644,732,522,1108,0,0,356,1058,612,36,120,78,0,7.5465,15.48,2.1285,7.74,0,1,1,1,1
"300",159,5,0,0,40000,40,1,0,358,608,0,539,0,0,166,0,403,24,0,42,0,6.45,25.8,0,10.32,0,1,1,0,1
"304",161,5,1,1,110000,40,1,610,686,745,0,847,108,0,533,0,367,36,0,42,15.6676363636364,4.50327272727273,7.50545454545455,0,3.75272727272727,1,1,1,0,1
"306",162,1,1,1,96000,45,1,669,669,0,588,1165,108,0,0,893,317,0,120,78,25.0340625,6.4096875,0,1.5721875,4.8375,1,1,0,1,1
"308",163,5,1,1,120000,60,1,647,712,591,0,1088,288,0,482,0,317,36,0,42,25.8,7.224,10.32,0,5.16,1,1,1,0,1
"310",164,5,1,0,35000,50,1,0,0,853,0,1178,0,0,734,0,374,36,0,78,0,0,36.8571428571429,0,14.7428571428571,0,0,1,0,1
"313",166,5,1,1,30000,62,1,424,0,0,0,778,324,0,0,0,475,0,0,66,53.32,0,0,0,21.328,1,0,0,0,1
