"RespondentID" "choice" "avcycle" "avwalk" "avhsr" "avcar" "timecycle" "timewalk" "accesshsr" "waitingtimehsr" "transfer" "timehsr" "timecar" "parking" "vehind" "owncycle" "gender" "work" "visa" "age" "solo" "shared" "family" "child" "primary_caregiver" "LAT" "LONG" "DAUID" "mhi" "dwell_den" "lum" "st_den" "inter_den" "SF_P_ratio" "side_den" "Shelters_SD" "Shelters_D" "Shelters_A" "Shelters_SA"
"79" 567061503 2 0 1 1 0 1.98584445012658 25 18.63 10.23 0 16 11.5129254649702 0 0 0 0 1 1 19 0 1 0 0 0 43.26302 -79.900741 35250503 3.3902 941.397976 0.805636 14.37620617 39.22491567 0.230931 22.63322192 0 1 0 0
"80" 567061867 2 0 1 1 1 1.47501882649786 15 5.33 10.23 0 2 0.693147180559945 0 1 0 1 0 1 19 0 1 0 0 0 43.258029 -79.912695 35250672 6.6385 1199.709838 0.499495 15.73366442 55.80045756 0.311577 35.69782751 0 0 0 0
"81" 567061940 3 0 0 1 1 11.5129254649702 0 15 10 1 10 2.30258509299405 0 1 0 0 1 1 28 1 0 0 0 0 43.251057 -79.892789 35250509 7.5557 1937.202357 0.097577 13.77504238 40.35838244 0.270908 23.62142566 0 0 0 0
"82" 567067774 2 0 1 1 0 1.47501882649786 15 12.42 10.23 0 3 11.5129254649702 0 0 0 0 0 1 20 0 1 0 0 0 43.258076 -79.911943 35250672 6.6385 1199.709838 0.499495 15.73366442 55.80045756 0.311577 35.69782751 0 1 0 0
"83" 567069162 2 0 1 1 0 1.76270089894964 20 7.45 10.23 0 5 11.5129254649702 0 0 0 0 1 1 21 0 1 0 0 0 43.257822 -79.919413 35250669 5.4911 892.1743564 0.47946 14.30782564 45.88325261 0.268249 37.4575743 0 1 0 0
"84" 567078740 2 0 1 1 0 1.06955371838969 10 3.2 10.23 0 3 11.5129254649702 0 0 0 1 1 1 20 0 1 0 0 0 43.262139 -79.912129 35250678 14.595 106.5837403 0.550986 3.60991605 4.388742249 0.075118 5.049635391 0 0 0 0
"85" 567078850 4 0 0 1 1 11.5129254649702 0 10.66 10.23 1 40 2.70805020110221 0 0 1 1 1 1 21 0 0 1 1 0 43.235229 -79.868124 35250549 4.3464 2174.114164 0.233036 11.1199926 0 0.237147 28.88572736 0 1 0 0
"86" 567079297 2 0 1 1 0 0.846410167075482 8 2.48 10.23 0 4 11.5129254649702 0 0 0 0 1 1 19 0 1 0 0 0 43.262084 -79.91112 35250678 14.595 106.5837403 0.550986 3.60991605 4.388742249 0.075118 5.049635391 0 0 1 0
"87" 567085838 4 0 0 1 1 11.5129254649702 0 4.84 10.23 0 23 2.70805020110221 1 1 0 0 1 1 21 0 0 1 1 0 43.243592 -79.823895 35250732 6.1647 404.3523011 0.352993 8.563275009 22.05558006 0.060515 12.16682348 0 1 0 0
"88" 567094663 4 0 0 1 1 11.5129254649702 0 12.42 10.23 3 120 3.13549421592915 1 0 0 0 1 1 20 0 0 1 1 0 43.211014 -79.849555 35250594 9.2648 1550.328972 0 16.1767375 52.93806247 0.314355 31.81282988 0 0 0 0
