"ID","ICH","SEXO","AUTLIC","ILM","HTS","JEFH","TVIA1","TVIA2","TVIA3","TVIA4","TVIA5","TCAM1","TCAM2","TCAM3","TCAM4","TCAM5","TESP3","TESP4","TESP5","CTOT1_w","CTOT2_w","CTOT3_w","CTOT4_w","CTOT5_w","DISP1","DISP2","DISP3","DISP4","DISP5"
"487",254,3,0,0.5,80000,45,0,0,0,1051,0,1958,0,0,331,0,331,30,0,36,0,0,7.25625,0,2.9025,0,0,1,0,1
"493",257,4,1,0.33,25000,45,0,997,0,1000,906,2121,144,0,562,1411,562,24,78,42,55.728,0,27.864,6.0372,9.288,1,0,1,1,1
"497",259,1,1,0.33,70000,45,1,1190,0,1207,0,2366,108,0,310,0,310,60,0,30,9.288,0,9.95142857142857,0,3.31714285714286,1,0,1,0,1
"499",260,4,1,0.5,1e+05,48,1,0,0,0,690,1451,0,0,0,1382,518,0,78,54,0,0,0,1.60992,2.4768,0,0,0,1,1
"501",261,1,0,1,275000,50,1,1186,0,1066,0,1908,108,0,583,0,583,60,0,30,2.25163636363636,0,2.81454545454545,0,0.938181818181818,1,0,1,0,1
"507",264,5,0,1,30000,45,1,0,0,426,281,752,0,0,475,806,583,12,78,6,0,0,23.22,5.031,7.74,0,0,1,1,1
"509",265,4,0,0,35000,45,1,0,0,622,533,1371,0,0,378,580,378,18,78,12,0,0,19.9028571428571,4.31228571428571,6.63428571428571,0,0,1,1,1
"511",266,4,0,1,32000,45,1,755,0,0,690,1594,108,0,0,526,504,0,78,18,22.8571875,0,0,4.7165625,7.25625,1,0,0,1,1
"515",268,4,1,1,120000,48,1,850,0,690,768,1524,58,0,324,454,324,24,78,42,2.6832,0,6.192,1.3416,2.064,1,0,1,1,1
"517",269,4,1,0.5,50000,48,1,0,0,772,690,1594,0,0,331,346,331,24,78,18,0,0,14.8608,3.21984,4.9536,0,0,1,1,1
"519",270,4,1,0.5,60000,48,1,0,0,861,906,1738,0,0,475,677,497,24,78,42,0,0,12.384,2.6832,4.128,0,0,1,1,1
"521",271,3,0,1,30000,48,0,0,1006,1171,0,1667,0,144,475,0,475,48,0,54,0,5.7792,24.768,0,8.256,0,1,1,0,1
"523",272,4,0,0.5,30000,48,0,0,740,746,690,1594,0,144,338,425,338,18,78,18,0,4.9536,24.768,5.3664,8.256,0,1,1,1,1
"525",273,1,0,1,50000,50,1,1574,0,1324,0,2632,216,0,378,0,378,30,0,258,37.668,0,15.48,0,5.16,1,0,1,0,1
"527",274,1,1,1,180000,50,1,1098,1098,983,0,1725,58,58,378,0,400,24,0,42,2.86666666666667,1.43333333333333,3.58333333333333,0,1.43333333333333,1,1,1,0,1
"529",275,4,1,0.5,115000,50,1,816,0,814,768,1661,432,0,461,518,461,24,78,18,5.49652173913043,0,6.7304347826087,1.45826086956522,2.24347826086957,1,0,1,1,1
"531",276,4,1,1,115000,50,1,754,754,698,690,1525,58,58,338,425,338,18,78,18,2.91652173913043,1.45826086956522,6.7304347826087,1.45826086956522,2.24347826086957,1,1,1,1,1
